year,tone,sentiment
2015,-2.84900284900285,negative
2015,2.30263157894737,positive
2015,0.783289817232376,positive
2015,0.830815709969788,positive
2015,2.30263157894737,positive
2015,2.04081632653061,positive
2015,-5.79710144927536,negative
2015,1.92307692307692,positive
2015,1.83823529411765,positive
2015,-2.17391304347826,negative
2015,-2.1505376344086,negative
2015,4.86725663716814,positive
2015,4.86725663716814,positive
2015,2.22222222222222,positive
2015,1.14285714285714,positive
2015,-4.78589420654912,negative
2015,1.52671755725191,positive
2015,1.77383592017738,positive
2015,0.987306064880113,positive
2015,1.92307692307692,positive
2015,2.12765957446809,positive
2015,0.952380952380952,positive
2015,-1.35135135135135,negative
2015,-2.63157894736842,negative
2015,5.01567398119122,positive
2015,4.70588235294118,positive
2015,-1.14942528735632,negative
2015,0.359712230215827,positive
2015,-1.42857142857143,negative
2015,3.26086956521739,positive
2015,7.37327188940092,positive
2015,0.159489633173844,neutral
2015,1.8348623853211,positive
2015,2.5,positive
2015,-0.613496932515337,negative
2015,1.08695652173913,positive
2015,0.0,neutral
2015,-1.43266475644699,negative
2015,3.04878048780488,positive
2015,3.35570469798658,positive
2015,2.9585798816568,positive
2015,-1.36390017411492,negative
2015,-2.05761316872428,negative
2015,4.14746543778802,positive
2015,0.52219321148825,positive
2015,-1.88235294117647,negative
2015,0.858652575957727,positive
2015,4.52488687782805,positive
2015,0.665188470066519,positive
2015,1.29533678756477,positive
2015,2.87610619469027,positive
2015,2.48062015503876,positive
2015,1.29533678756477,positive
2015,2.48062015503876,positive
2015,2.41379310344828,positive
2015,0.0,neutral
2015,3.42717258261934,positive
2015,2.82131661442006,positive
2015,-0.41407867494824,negative
2015,3.1700288184438,positive
2015,-0.921658986175115,negative
2015,1.16279069767442,positive
2015,1.13895216400911,positive
2015,2.60521042084168,positive
2015,-0.245700245700246,negative
2015,5.88235294117647,positive
2015,-2.04081632653061,negative
2015,-4.25,negative
2015,0.199600798403194,neutral
2015,-2.09205020920502,negative
2015,0.444444444444444,positive
2015,0.933488914819137,positive
2015,-1.97530864197531,negative
2015,2.73972602739726,positive
2015,-2.93159609120521,negative
2015,-1.56599552572707,negative
2015,-0.687285223367697,negative
2015,5.79710144927536,positive
2015,6.32411067193676,positive
2015,1.42857142857143,positive
2015,0.0,neutral
2015,-5.08474576271187,negative
2015,-0.355871886120996,negative
2015,1.67014613778706,positive
2015,-8.8235294117647,negative
2015,-5.52995391705069,negative
2015,2.31958762886598,positive
2015,0.0,neutral
2015,-1.69491525423729,negative
2015,1.4827018121911,positive
2015,6.426735218509,positive
2015,-0.858369098712446,negative
2015,0.578034682080925,positive
2015,1.20562625586068,positive
2015,-0.50761421319797,negative
2015,-0.50761421319797,negative
2015,-0.534045393858478,negative
2015,-0.50761421319797,negative
2015,-0.50761421319797,negative
2015,-0.53763440860215,negative
2015,0.998697351280938,positive
2015,-0.245700245700246,negative
2015,-0.50761421319797,negative
2015,-0.50761421319797,negative
2015,2.71186440677966,positive
2015,-0.50761421319797,negative
2015,-2.20264317180617,negative
2015,-3.64963503649635,negative
2015,-7.09318497913769,negative
2015,0.872093023255814,positive
2015,2.01342281879195,positive
2015,1.64383561643836,positive
2015,2.0746887966805,positive
2015,3.14637482900137,positive
2015,-3.31491712707182,negative
2015,-2.40963855421687,negative
2015,3.06122448979592,positive
2015,0.807102502017756,positive
2015,0.0,neutral
2015,-1.21359223300971,negative
2015,0.110987791342952,neutral
2015,1.94174757281553,positive
2015,0.326797385620915,positive
2015,0.574712643678161,positive
2015,-2.34113712374582,negative
2015,-4.38079191238416,negative
2015,1.68539325842697,positive
2015,3.6036036036036,positive
2015,1.79640718562874,positive
2015,0.0,neutral
2015,4.74777448071217,positive
2015,1.97132616487455,positive
2015,1.34228187919463,positive
2015,2.98507462686567,positive
2015,0.815217391304348,positive
2015,1.20481927710843,positive
2015,2.77777777777778,positive
2015,0.242718446601942,positive
2015,3.43007915567282,positive
2015,-4.16666666666667,negative
2015,-5.5921052631579,negative
2015,-5.5921052631579,negative
2015,-5.40540540540541,negative
2015,3.30882352941176,positive
2015,-4.90196078431372,negative
2015,-5.5921052631579,negative
2015,-7.37704918032787,negative
2015,-3.49075975359343,negative
2015,-7.37704918032787,negative
2015,-4.90196078431372,negative
2015,3.43007915567282,positive
2015,-5.5921052631579,negative
2015,-1.51843817787419,negative
2015,-5.5921052631579,negative
2015,5.98802395209581,positive
2015,-5.78231292517007,negative
2015,-7.31707317073171,negative
2015,-4.81927710843374,negative
2015,-7.31707317073171,negative
2015,-7.31707317073171,negative
2015,1.09536082474227,positive
2015,2.06766917293233,positive
2015,-5.07936507936508,negative
2015,2.78637770897833,positive
2015,-5.07936507936508,negative
2015,1.41643059490085,positive
2015,1.56739811912226,positive
2015,1.63265306122449,positive
2015,0.628930817610063,positive
2015,-0.367647058823529,negative
2015,0.641025641025641,positive
2015,1.3840830449827,positive
2015,0.854700854700855,positive
2015,0.418410041841004,positive
2015,0.766871165644172,positive
2015,0.941176470588235,positive
2015,0.205655526992288,positive
2015,0.0,neutral
2015,0.717703349282297,positive
2015,4.19161676646707,positive
2015,-0.722673893405601,negative
2015,4.1407867494824,positive
2015,-0.465116279069768,negative
2015,5.45454545454545,positive
2015,0.886917960088692,positive
2015,-3.31262939958592,negative
2015,-3.31262939958592,negative
2015,-1.56862745098039,negative
2015,2.53411306042885,positive
2015,-3.27102803738318,negative
2015,1.02739726027397,positive
2015,-3.31262939958592,negative
2015,2.0440251572327,positive
2015,-3.31262939958592,negative
2015,-3.31262939958592,negative
2015,2.84697508896797,positive
2015,2.29226361031519,positive
2015,1.9047619047619,positive
2015,-3.31262939958592,negative
2015,1.05596620908131,positive
2015,3.32541567695962,positive
2015,-3.54609929078014,negative
2015,-3.31262939958592,negative
2015,1.47058823529412,positive
2015,-3.49127182044888,negative
2015,-0.884955752212389,negative
2015,2.53164556962025,positive
2015,0.0,neutral
2015,-1.0989010989011,negative
2015,1.32450331125828,positive
2015,1.68539325842697,positive
2015,-1.11111111111111,negative
2015,-0.833333333333333,negative
2015,0.0,neutral
2015,2.94117647058824,positive
2015,1.21858339680122,positive
2015,1.78236397748593,positive
2015,3.53356890459364,positive
2015,1.03092783505155,positive
2015,4.66165413533835,positive
2015,1.27118644067797,positive
2015,3.0,positive
2015,0.657894736842105,positive
2015,4.04624277456647,positive
2015,-4.13223140495868,negative
2015,0.710900473933649,positive
2015,-2.4390243902439,negative
2015,0.680272108843537,positive
2015,4.61811722912966,positive
2015,2.9940119760479,positive
2015,0.0,neutral
2015,4.39932318104907,positive
2015,4.39932318104907,positive
2015,6.16740088105727,positive
2015,0.0,neutral
2015,2.79605263157895,positive
2016,1.41843971631206,positive
2016,0.343642611683849,positive
2016,2.61437908496732,positive
2016,2.16535433070866,positive
2016,2.95081967213115,positive
2016,5.34124629080119,positive
2016,-0.793650793650793,negative
2016,0.0,neutral
2016,0.0,neutral
2016,-4.85933503836317,negative
2016,0.415800415800415,positive
2016,3.1496062992126,positive
2016,1.52173913043478,positive
2016,-0.330851943755169,negative
2016,5.36912751677852,positive
2016,3.64238410596027,positive
2016,1.52505446623094,positive
2016,0.48780487804878,positive
2016,3.7037037037037,positive
2016,2.67857142857143,positive
2016,3.61990950226244,positive
2016,3.86100386100386,positive
2016,1.14285714285714,positive
2016,-1.85185185185185,negative
2016,2.29445506692161,positive
2016,2.61437908496732,positive
2016,-1.97869101978691,negative
2016,0.630252100840336,positive
2016,1.02040816326531,positive
2016,-1.17994100294985,negative
2016,0.630252100840336,positive
2016,5.58823529411765,positive
2016,-0.595238095238096,negative
2016,0.656455142231947,positive
2016,1.96463654223969,positive
2016,1.76470588235294,positive
2016,0.0,neutral
2016,0.581395348837209,positive
2016,7.63358778625954,positive
2016,2.81481481481481,positive
2016,-1.33333333333333,negative
2016,2.00752823086575,positive
2016,4.95049504950495,positive
2016,2.98507462686567,positive
2016,-1.05263157894737,negative
2016,-1.48698884758364,negative
2016,-1.15942028985507,negative
2016,-1.33333333333333,negative
2016,0.556586270871985,positive
2016,1.8140589569161,positive
2016,-0.584795321637427,negative
2016,-2.04081632653061,negative
2016,4.31034482758621,positive
2016,1.18694362017804,positive
2016,-1.43884892086331,negative
2016,2.52100840336134,positive
2016,-1.92307692307692,negative
2016,1.74603174603175,positive
2016,3.49206349206349,positive
2016,0.930232558139535,positive
2016,3.63636363636364,positive
2016,-2.62008733624454,negative
2016,0.930232558139535,positive
2016,0.69284064665127,positive
2016,2.05562273276904,positive
2016,0.849514563106796,positive
2016,0.641025641025641,positive
2016,0.719424460431655,positive
2016,-1.93939393939394,negative
2016,0.363636363636364,positive
2016,1.03626943005181,positive
2016,0.849514563106796,positive
2016,0.513874614594039,positive
2016,-1.26582278481013,negative
2016,1.28205128205128,positive
2016,1.24223602484472,positive
2016,3.58649789029536,positive
2016,0.27027027027027,positive
2016,1.44665461121157,positive
2016,2.55681818181818,positive
2016,-2.02429149797571,negative
2016,-7.00152207001522,negative
2016,0.597609561752988,positive
2016,-2.7027027027027,negative
2016,0.4,positive
2016,0.0,neutral
2016,-2.01465201465201,negative
2016,4.03587443946188,positive
2016,-4.07725321888412,negative
2016,-1.23152709359606,negative
2016,5.71428571428571,positive
2016,5.92592592592592,positive
2016,1.51515151515152,positive
2016,-2.0671834625323,negative
2016,0.496688741721854,positive
2016,1.33928571428571,positive
2016,2.04342273307791,positive
2016,4.25531914893617,positive
2016,0.0,neutral
2016,0.450450450450451,positive
2016,-0.307219662058372,negative
2016,6.02409638554217,positive
2016,2.51256281407035,positive
2016,0.0,neutral
2016,-4.41176470588235,negative
2016,-10.0,negative
2016,4.92957746478873,positive
2016,-1.58371040723982,negative
2016,2.55198487712665,positive
2016,-1.26182965299685,negative
2016,3.57142857142857,positive
2016,4.57516339869281,positive
2016,-1.20481927710843,negative
2016,0.860420650095602,positive
2016,0.412249705535924,positive
2016,-1.20481927710843,negative
2016,-1.20481927710843,negative
2016,-1.20481927710843,negative
2016,2.20994475138122,positive
2016,3.31262939958592,positive
2016,1.18577075098814,positive
2016,2.62529832935561,positive
2016,2.62529832935561,positive
2016,2.33333333333333,positive
2016,4.09556313993174,positive
2016,2.62529832935561,positive
2016,2.62529832935561,positive
2016,0.329489291598023,positive
2016,1.01394169835234,positive
2016,-3.04568527918782,negative
2016,3.04487179487179,positive
2016,5.71428571428571,positive
2016,3.64963503649635,positive
2016,3.06603773584906,positive
2016,4.19354838709677,positive
2016,4.1002277904328,positive
2016,-3.29985652797704,negative
2016,0.704225352112676,positive
2016,7.2,positive
2016,-3.29985652797704,negative
2016,1.09769484083425,positive
2016,2.96052631578947,positive
2016,1.03806228373702,positive
2016,-0.43010752688172,negative
2016,0.411522633744856,positive
2016,-0.253164556962025,negative
2016,0.710479573712256,positive
2016,0.903614457831325,positive
2016,1.93236714975845,positive
2016,1.44927536231884,positive
2016,-0.980392156862745,negative
2016,1.94730813287514,positive
2016,-0.101419878296146,neutral
2016,1.5748031496063,positive
2016,0.0,neutral
2016,0.497512437810945,positive
2016,1.44927536231884,positive
2016,5.32407407407407,positive
2016,0.497512437810945,positive
2016,0.0,neutral
2016,-4.34782608695652,negative
2016,3.36787564766839,positive
2016,3.77358490566038,positive
2016,3.1523642732049,positive
2016,3.07692307692308,positive
2016,4.12926391382406,positive
2016,0.0,neutral
2016,-4.83870967741935,negative
2016,2.30769230769231,positive
2016,4.13907284768212,positive
2016,1.30208333333333,positive
2016,1.64744645799012,positive
2016,-5.88235294117647,negative
2016,1.74002047082907,positive
2016,0.0,neutral
2016,-1.46341463414634,negative
2016,3.26086956521739,positive
2016,0.35866780529462,positive
2016,-1.46341463414634,negative
2016,1.2280701754386,positive
2016,-5.43478260869565,negative
2016,-4.79166666666667,negative
2016,-3.6231884057971,negative
2016,0.972053462940462,positive
2016,-1.78926441351889,negative
2016,-0.492610837438424,negative
2016,-2.66666666666667,negative
2016,-3.31983805668016,negative
2016,3.21428571428571,positive
2016,0.0,neutral
2016,1.171875,positive
2016,-6.89655172413793,negative
2016,-4.34782608695652,negative
2016,2.54912373871482,positive
2016,2.51396648044693,positive
2016,-0.181159420289855,neutral
2016,-4.57746478873239,negative
2016,0.0,neutral
2016,-0.232558139534884,negative
2016,0.0,neutral
2016,1.23339658444023,positive
2016,1.79372197309417,positive
2016,-5.4421768707483,negative
2016,0.290697674418605,positive
2016,2.09205020920502,positive
2016,2.5706940874036,positive
2016,-0.342465753424657,negative
2016,0.0,neutral
2016,-2.42290748898678,negative
2016,-4.41176470588235,negative
2016,0.302114803625377,positive
2016,3.05343511450382,positive
2016,2.17391304347826,positive
2016,2.69709543568465,positive
2016,0.0492489534597391,neutral
2016,7.60456273764259,positive
2016,0.422832980972516,positive
2016,-2.39520958083832,negative
2016,2.77777777777778,positive
2016,4.84076433121019,positive
2016,1.56532209512342,positive
2016,0.0,neutral
2016,0.424328147100424,positive
2016,1.40845070422535,positive
2016,3.07167235494881,positive
2016,2.35849056603774,positive
2016,0.597014925373134,positive
2016,-5.12820512820513,negative
2016,1.67865707434053,positive
2016,-6.83760683760684,negative
2016,-3.69609856262834,negative
2016,1.52505446623094,positive
2016,-0.371747211895911,negative
2016,1.56657963446475,positive
2016,3.84615384615385,positive
2016,1.96078431372549,positive
2016,-0.171526586620926,neutral
2016,-0.175131348511384,neutral
2016,-1.50214592274678,negative
2016,-0.111234705228031,neutral
2016,1.8348623853211,positive
2016,0.233644859813084,positive
2016,3.46020761245675,positive
2016,-1.88679245283019,negative
2016,-1.88679245283019,negative
2016,-1.61290322580645,negative
2016,1.77865612648221,positive
2016,-1.88679245283019,negative
2016,-4.91803278688525,negative
2016,-2.5,negative
2016,-3.47826086956522,negative
2016,-1.92307692307692,negative
2016,0.0,neutral
