hour,util_pct
0,18.920595093514695
1,18.879762110792306
2,18.84080489434054
3,18.816972931120862
4,18.79962378732901
5,18.794756338241992
6,18.894704882195775
7,19.064491087966477
8,19.260930525612608
9,19.459962501897678
10,19.564912552377482
11,19.655643863484546
12,19.720122967618526
13,19.75489084560498
14,19.786808914393283
15,19.780702747836646
16,19.72723310256877
17,19.582672192618904
18,19.40134112646121
19,19.262018946121966
20,19.18730655371863
21,19.10737961501093
22,19.036667273914166
23,18.969411173694628
