country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,continent
Aruba,2014,ABW,103607.0,,,,,,0.0,0.0,0.0,,542.553,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.94,0.94,,1.425,0.074,50628.816,,,,7528.449,0.78,,,82.979,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.51,,,,0.0,0.0,,0.0,,,,,1544.297,0.16,,17.021,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,7528.449,0.78,,,0.0,0.0,0.0,82.979,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9072.746,5.245,,,,1544.297,0.16,,17.021,,,,,96.519,0.01,,1.064,,,,,1447.779,0.15,,15.957,,Unknown
Ethiopia,2017,ETH,108197944.0,190761664512.0,,,,,0.185,0.02,0.152,,23.628,,,,,0.0,0.0,,,,,0.0,,11.69,13.12,,1.198,1.018,794.977,0.451,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,,0.31,,,,115.991,12.55,,95.655,,,,,121.259,13.12,,100.0,,-1.43,-12.233,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,0.0,,,0.02,0.0,,,0.185,0.0,,0.152,0.0,,121.259,86.015,,,,121.259,13.12,,100.0,,,,,0.185,0.02,,0.152,,,,,4.898,0.53,,4.04,,Unknown
United States,2010,USA,311182848.0,15239587299328.0,14.967,38.636,953.695,296.773,180.248,56.09,1.363,1.143,536.658,5.803,318.165,18640.299,5800.542,5936.349,1847.29,1.917,115.406,19717.758,6135.828,44.903,22.35,4139.92,4113.94,17.356,3.357,843.021,83402.883,1.703,3.619,774.488,9263.011,2882.49,71261.594,22175.387,70.066,85.443,4.949,305.654,6481.935,3174.018,987.7,20829.986,3.152,175.749,18482.941,5751.574,24.009,24.975,2207.78,-5.251,-44.228,714.086,818.49,254.7,2294.748,6.191,2.751,3.731,68.533,3778.161,3957.32,1231.45,12141.289,29.934,14.557,25.98,0.628,1.016,8.922,2262.428,2593.234,806.97,7270.414,19.616,8.717,1.547,150.669,9892.909,152.643,47.5,31791.307,3.273,122.798,12450.809,3874.478,1.155,38.118,231.142,73.92,17.83,2.6,5.695,237.545,57.298,742.784,1.797,0.433,0.891,13220.33,25953.547,7.092,59.61,1515.733,1364.086,424.48,4870.875,10.318,5.84,45.139,2.565,8.363,3.888,1.21,26.875,0.029,0.032,28.106,56.941,265.368,304.162,94.65,852.773,2.301,1.022,Unknown
Ethiopia,2012,ETH,94451280.0,116345225216.0,,,,,0.423,0.04,0.528,,25.099,,,,,0.0,0.0,-100.0,-0.158,0.0,0.0,0.0,,7.01,7.57,,11.441,5.402,557.104,0.452,,,0.212,0.02,,,0.264,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.19,,,,77.394,7.31,,96.565,,,,,79.935,7.55,,99.736,,-0.56,-7.989,,,,0.0,0.0,,0.0,,,,,0.212,0.02,,,0.0,0.0,0.0,0.264,,,0.05,0.01,,,0.529,0.106,,0.661,0.132,,80.147,52.619,,,,79.935,7.55,,99.736,,,,,0.0,0.0,,0.0,,,,,2.012,0.19,,2.51,,Unknown
Ethiopia,2010,ETH,89237800.0,94148624384.0,,,,,0.672,0.06,1.198,,31.936,,,,,0.0,0.0,100.0,0.135,3.032,0.271,0.0,,5.01,5.01,,10.818,4.079,468.262,0.444,,,0.56,0.05,,,0.998,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.16,,,,54.685,4.88,,97.405,,,,,55.582,4.96,,99.002,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,0.56,0.05,,,0.0,0.0,0.0,0.998,,,0.08,0.02,,,0.896,0.224,,1.597,0.399,,56.142,41.787,,,,55.582,4.96,,99.002,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,Unknown
Aruba,2021,ABW,106543.0,,,,,,0.0,0.0,0.0,,561.224,,,,,0.0,0.0,,,,,0.0,,0.98,0.98,,5.909,0.274,46090.324,,,,7790.282,0.83,,,84.694,,,,,0.0,0.0,,,,,,0.0,,0.55,,,,0.0,0.0,,0.0,,,,,1407.882,0.15,,15.306,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,7790.282,0.83,,,,,,84.694,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9198.164,4.911,,,,1407.882,0.15,,15.306,,,,,93.859,0.01,,1.02,,,,,1314.023,0.14,,14.286,,Unknown
United States,2021,USA,336997632.0,19099377729536.0,9.917,37.518,1233.954,415.839,160.98,54.25,1.306,1.602,398.532,14.894,380.713,8714.881,2936.894,2664.707,898.0,8.344,248.646,9580.508,3228.608,21.62,11.315,4192.93,4153.62,17.883,5.419,1334.182,77023.773,1.359,6.185,1233.131,7455.215,2512.39,62819.816,21170.129,60.487,81.559,0.225,18.753,8364.249,4686.057,1579.19,24819.904,2.124,196.43,28025.594,9444.559,38.02,32.224,1655.35,-11.959,-91.208,651.455,731.37,246.47,1933.115,5.934,2.51,3.296,101.05,4786.699,4870.153,1641.23,14203.955,39.513,18.441,39.31,0.938,-1.296,-34.719,2060.685,2313.518,779.65,6114.834,18.77,7.939,9.227,833.665,9868.985,104.452,35.2,29285.029,0.364,30.236,24706.613,8326.07,0.847,38.021,224.519,72.49,18.24,-0.531,-1.475,215.105,54.125,666.234,1.745,0.439,0.865,12325.368,25956.828,6.454,135.769,2726.014,2556.635,861.58,8089.12,20.743,10.502,25.781,87.806,434.585,487.897,164.42,1289.579,3.958,1.674,11.913,103.127,999.615,1122.263,378.2,2966.237,9.105,3.851,Unknown
Ethiopia,2008,ETH,84357104.0,79756500992.0,,,,,0.593,0.05,1.502,,30.03,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,3.33,3.33,,4.687,1.633,432.32,0.457,,,0.119,0.01,,,0.3,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.1,,,,38.645,3.26,,97.898,,,,,39.356,3.32,,99.7,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,0.119,0.01,,,0.0,0.0,0.0,0.3,,,0.06,0.01,,,0.711,0.119,,1.802,0.3,,39.475,36.469,,,,39.356,3.32,,99.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,Unknown
Aruba,2017,ABW,105454.0,,,,,,0.0,0.0,0.0,,567.01,,,,,0.0,0.0,,,,,0.0,,0.97,0.97,,3.537,0.186,51509.809,,,,7870.73,0.83,,,85.567,,,,,0.0,0.0,,,,,,0.0,,0.55,,,,0.0,0.0,,0.0,,,,,1327.593,0.14,,14.433,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,7870.73,0.83,,,,,,85.567,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9198.323,5.432,,,,1327.593,0.14,,14.433,,,,,94.828,0.01,,1.031,,,,,1232.765,0.13,,13.402,,Unknown
Ethiopia,2009,ETH,86755584.0,86391029760.0,,,,,0.576,0.05,1.381,,35.912,,,,,0.0,0.0,,0.135,1.559,0.135,0.0,,3.62,3.62,,3.395,1.238,434.64,0.436,,,0.692,0.06,,,1.657,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.13,,,,40.228,3.49,,96.409,,,,,41.035,3.56,,98.343,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,0.692,0.06,,,0.0,0.0,0.0,1.657,,,0.07,0.02,,,0.807,0.231,,1.934,0.552,,41.726,37.707,,,,41.035,3.56,,98.343,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,Unknown
