country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,continent
United States,2015,USA,324607776.0,16937634496512.0,4.631,16.696,1162.053,377.211,196.021,63.63,1.558,1.465,474.737,-13.606,-681.778,13336.334,4329.078,4166.259,1352.4,-11.533,-651.388,15392.445,4996.507,33.115,16.814,4150.66,4083.99,17.463,-0.956,-248.486,79318.57,1.52,-1.233,-270.438,8411.136,2730.32,66714.312,21655.984,66.854,84.109,2.952,213.19,7435.795,4107.973,1333.48,22907.014,5.048,355.767,22806.082,7403.032,32.651,28.88,1938.82,-3.635,-29.162,663.691,751.646,243.99,2044.595,5.974,2.578,1.509,21.95,4091.442,4170.171,1353.67,12604.264,33.146,15.891,66.67,1.606,0.001,-12.952,2168.462,2455.825,797.18,6680.254,19.52,8.422,2.044,198.151,9891.111,136.904,44.44,30470.963,8.091,493.634,20315.861,6594.687,1.088,38.416,257.115,82.75,19.12,-0.397,-1.351,254.923,58.902,792.08,2.026,0.468,0.999,12581.307,25747.426,2.895,34.903,1922.98,1714.346,556.49,5924.01,13.626,7.469,34.947,27.024,106.174,120.237,39.03,327.083,0.956,0.412,4.989,21.695,518.788,587.54,190.72,1598.198,4.67,2.015,Unknown
United States,2009,USA,308512032.0,14864003104768.0,13.607,30.918,836.716,258.137,176.622,54.49,1.383,1.028,531.222,-12.044,-750.678,17770.381,5482.376,5691.512,1755.9,-9.34,-620.218,19514.385,6020.422,44.568,21.833,3973.87,3939.82,17.224,-4.91,-1296.725,81392.367,1.689,-6.126,-1396.498,8834.048,2725.41,69368.117,21400.898,69.176,85.227,-1.791,-112.631,6176.281,2985.232,920.98,20019.578,2.109,115.151,18073.283,5575.825,23.376,24.596,2092.92,8.157,52.838,758.314,871.344,268.82,2457.971,6.823,3.02,4.281,99.775,3709.628,3936.346,1214.41,12024.258,30.824,14.773,34.05,0.857,-0.912,-34.87,2253.506,2589.364,798.85,7304.434,20.276,8.974,-5.189,-533.189,9742.24,157.303,48.53,31578.152,6.738,236.836,12160.563,3751.68,1.232,38.797,225.447,71.96,17.47,-0.532,-1.601,233.249,56.627,730.756,1.826,0.443,0.898,12770.394,25110.525,11.513,134.645,1456.122,1346.982,415.56,4719.823,10.548,5.799,27.121,1.209,5.798,2.885,0.89,18.792,0.023,0.023,33.457,51.282,208.427,239.504,73.89,675.588,1.875,0.83,Unknown
Ethiopia,2020,ETH,117190920.0,237860192256.0,,,,,0.256,0.03,0.19,,24.005,,,,,0.0,0.0,,,,,0.0,,14.19,15.83,,-4.203,-4.422,860.1,0.424,,,0.085,0.01,,,0.063,,,,,0.0,0.0,,,,,,0.0,,0.38,,,,127.484,14.94,,94.378,,,,,134.993,15.82,,99.937,,-1.64,-11.557,,,,0.0,0.0,,0.0,,,,,0.085,0.01,,,,,,0.063,,,0.03,0.0,,,0.256,0.0,,0.19,0.0,,135.079,100.796,,,,134.993,15.82,,99.937,,,,,0.256,0.03,,0.19,,,,,6.997,0.82,,5.18,,Unknown
Aruba,2008,ABW,98006.0,,,,,,0.0,0.0,0.0,,659.341,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.91,0.91,,-6.061,-0.369,58413.715,,,,9285.146,0.91,,,100.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.6,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,9285.146,0.91,,,0.0,0.0,0.0,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9285.146,5.725,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,Unknown
United States,2008,USA,305694912.0,15288553701376.0,36.596,60.875,743.287,227.219,180.016,55.03,1.34,0.86,555.945,-1.591,-100.795,20389.789,6233.055,6496.02,1985.8,1.527,99.851,21723.098,6640.64,48.345,23.604,4140.35,4107.53,16.968,-2.436,-659.461,86384.328,1.727,-3.319,-782.516,9565.779,2924.21,74575.648,22797.396,71.191,86.33,0.762,47.529,6288.912,2888.435,882.98,20572.512,4.633,241.786,17863.15,5460.674,21.497,23.815,2283.56,3.296,18.24,705.476,813.033,248.54,2307.778,6.051,2.672,6.579,123.055,3609.854,3870.918,1183.32,11808.681,28.809,13.67,32.82,0.793,-0.027,-14.92,2288.376,2637.303,806.21,7485.817,19.628,8.666,-6.627,-729.25,10275.43,181.325,55.43,33613.348,-0.903,-32.033,11497.881,3514.844,1.349,38.911,227.048,72.35,17.32,-0.431,-1.381,236.674,56.658,742.728,1.761,0.422,0.86,13436.697,26407.25,17.38,137.975,1321.477,1233.615,377.11,4322.863,9.181,5.004,49.082,1.492,4.589,2.813,0.86,15.012,0.021,0.017,60.706,58.75,157.145,181.096,55.36,514.058,1.348,0.595,Unknown
Ethiopia,2022,ETH,123379928.0,269977223168.0,,,,,0.243,0.03,0.195,,24.643,,,,,0.0,0.0,,,,,0.0,,13.76,15.42,,,,,,,,0.081,0.01,,,0.065,,,,,0.0,0.0,,,,,,0.0,,0.38,,,,119.549,14.75,,95.655,,,,,124.899,15.41,,99.935,,-1.66,-12.064,,,,0.0,0.0,,0.0,,,,,0.081,0.01,,,,,,0.065,,,0.03,0.0,,,0.243,0.0,,0.195,0.0,,124.98,,,,,124.899,15.41,,99.935,,,,,0.324,0.04,,0.259,,,,,4.782,0.59,,3.826,,Unknown
Aruba,2013,ABW,102891.0,,,,,,0.0,0.0,0.0,,553.191,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.94,0.94,,-3.157,-0.169,50264.645,,,,7678.028,0.79,,,84.043,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.52,,,,0.0,0.0,,0.0,,,,,1457.854,0.15,,15.957,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,7678.028,0.79,,,0.0,0.0,0.0,84.043,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9135.882,5.172,,,,1457.854,0.15,,15.957,,,,,0.0,0.0,,0.0,,,,,1457.854,0.15,,15.957,,Unknown
Aruba,2019,ABW,106458.0,,,,,,0.0,0.0,0.0,,556.701,,,,,0.0,0.0,,,,,0.0,,0.97,0.97,,3.682,0.193,51107.844,,,,7702.568,0.82,,,84.536,,,,,0.0,0.0,,,,,,0.0,,0.54,,,,0.0,0.0,,0.0,,,,,1409.006,0.15,,15.464,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,7702.568,0.82,,,,,,84.536,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9111.574,5.441,,,,1409.006,0.15,,15.464,,,,,93.934,0.01,,1.031,,,,,1315.073,0.14,,14.433,,Unknown
United States,2011,USA,313876608.0,15477885632512.0,8.285,24.587,1023.843,321.36,180.549,56.67,1.386,1.249,517.563,-5.646,-327.47,17437.016,5473.071,5522.648,1733.43,0.831,51.001,19711.023,6186.829,42.394,21.272,4126.12,4088.87,17.493,-0.865,-224.459,81971.984,1.662,-1.906,-422.627,8885.434,2788.93,69303.539,21752.76,68.208,84.545,1.545,100.173,6582.108,3229.581,1013.69,20970.367,7.337,422.011,19668.828,6173.585,24.791,25.582,2116.25,22.863,157.912,871.998,996.984,312.93,2778.155,7.653,3.389,5.959,198.168,3976.329,4141.564,1299.94,12668.445,31.792,15.455,37.25,0.903,-2.077,-60.508,2201.92,2517.55,790.2,7015.241,19.326,8.558,-1.974,-195.329,9697.58,133.205,41.81,30896.154,3.985,154.409,12835.894,4028.887,1.023,37.691,233.103,74.81,18.14,0.95,1.961,238.342,57.793,742.658,1.83,0.444,0.906,13026.999,25729.088,15.339,258.676,1774.409,1624.014,509.74,5653.205,12.467,6.897,57.28,4.71,13.073,5.798,1.82,41.65,0.045,0.051,26.966,69.506,334.874,382.889,120.18,1066.898,2.939,1.302,Unknown
Aruba,2009,ABW,99223.0,,,,,,0.0,0.0,0.0,,642.105,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.95,0.95,,-0.303,-0.017,57522.297,,,,9272.044,0.92,,,96.842,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.61,,,,0.0,0.0,,0.0,,,,,302.349,0.03,,3.158,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,9272.044,0.92,,,0.0,0.0,0.0,96.842,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9574.393,5.708,,,,302.349,0.03,,3.158,,,,,0.0,0.0,,0.0,,,,,302.349,0.03,,3.158,,Unknown
United States,2018,USA,332140032.0,18124692783104.0,-1.325,-5.433,1218.223,404.621,186.156,61.83,1.472,1.512,435.006,-4.234,-163.134,11108.142,3689.458,3460.86,1149.49,-1.676,-72.928,12878.457,4277.451,27.359,13.783,4246.01,4201.55,17.392,3.66,945.143,80595.484,1.477,4.212,897.748,8012.584,2661.3,66877.977,22212.854,63.341,82.98,11.077,819.71,8219.633,4423.225,1469.13,24747.492,12.7,947.654,25318.723,8409.361,34.966,30.706,1827.7,-2.457,-23.911,765.977,862.949,286.62,2306.186,6.822,2.861,1.187,47.394,4556.134,4637.351,1540.25,13717.509,36.659,17.02,44.46,1.047,0.265,-6.949,2156.894,2429.939,807.08,6493.931,19.209,8.057,2.397,241.171,10303.762,128.5,42.68,31022.342,16.62,1109.805,23445.822,7787.296,1.016,38.491,250.438,80.52,18.69,-1.096,-3.174,242.428,56.271,754.014,1.916,0.445,0.936,12649.936,26768.986,1.882,54.343,2399.24,2207.412,733.17,7223.578,17.45,8.963,20.819,41.78,249.513,281.086,93.36,751.23,2.222,0.932,7.222,45.081,728.691,820.949,272.67,2193.926,6.49,2.722,Unknown
Ethiopia,2014,ETH,99746768.0,141950550016.0,,,,,0.301,0.03,0.317,,23.231,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,8.71,9.47,,13.298,8.167,697.629,0.49,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.22,,,,89.426,8.92,,94.192,,,,,94.94,9.47,,100.0,,-0.76,-8.726,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.03,0.0,,,0.301,0.0,,0.317,0.0,,94.94,69.586,,,,94.94,9.47,,100.0,,,,,0.201,0.02,,0.211,,,,,5.013,0.5,,5.28,,Unknown
Aruba,2010,ABW,100354.0,,,,,,0.0,0.0,0.0,,585.106,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.94,0.94,,-6.127,-0.35,53389.605,,,,8270.722,0.83,,,88.298,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.55,,,,0.0,0.0,,0.0,,,,,1096.12,0.11,,11.702,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,8270.722,0.83,,,0.0,0.0,0.0,88.298,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9366.842,5.358,,,,1096.12,0.11,,11.702,,,,,0.0,0.0,,0.0,,,,,1096.12,0.11,,11.702,,Unknown
United States,2012,USA,316651328.0,15830887694336.0,0.193,0.619,1016.827,321.98,181.967,57.62,1.426,1.285,500.917,-11.596,-634.667,15279.911,4838.404,4781.411,1514.04,-6.951,-430.02,18180.277,5756.809,37.47,19.317,4087.93,4040.67,17.741,-2.65,-681.721,79100.781,1.582,-2.579,-561.037,8776.277,2779.02,66924.469,21191.723,68.776,84.607,4.544,299.12,6881.228,3871.419,1225.89,21731.246,5.146,317.663,20499.672,6491.248,30.339,27.473,2024.04,-13.308,-120.625,751.373,856.747,271.29,2372.871,6.714,3.0,-2.214,-120.685,3855.644,3984.351,1261.65,12176.307,31.224,15.393,47.26,1.156,-2.641,-71.156,2130.764,2429.581,769.33,6729.055,19.04,8.507,-2.325,-225.49,9472.09,123.448,39.09,29913.312,14.103,568.193,14517.797,4597.08,0.967,37.817,236.724,75.88,18.26,1.664,3.621,239.633,57.666,747.586,1.878,0.452,0.945,12760.629,25047.367,-1.791,-49.529,1724.88,1554.77,492.32,5447.252,12.184,6.886,90.698,11.706,24.779,13.674,4.33,78.253,0.107,0.099,17.179,55.15,390.024,444.716,140.82,1231.715,3.485,1.557,Unknown
Ethiopia,2016,ETH,105293232.0,173708918784.0,,,,,0.285,0.03,0.241,,24.058,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,11.17,12.47,,15.94,11.686,807.24,0.489,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.3,,,,110.548,11.64,,93.344,,,,,118.431,12.47,,100.0,,-1.3,-11.638,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.03,0.0,,,0.285,0.0,,0.241,0.0,,118.431,84.997,,,,118.431,12.47,,100.0,,,,,0.19,0.02,,0.16,,,,,7.408,0.78,,6.255,,Unknown
United States,2014,USA,322033952.0,16491318607872.0,1.432,5.089,1119.494,360.515,198.706,63.99,1.562,1.387,497.758,-0.227,-11.416,15560.023,5010.856,4911.625,1581.71,1.422,79.182,17538.199,5647.896,38.616,19.276,4149.22,4096.01,17.333,1.039,267.285,80724.133,1.576,0.946,205.49,8545.714,2752.01,68087.297,21926.422,67.188,84.346,2.155,152.376,7222.604,3498.42,1126.61,22428.084,7.478,490.337,21883.607,7047.265,27.505,27.784,2038.82,-4.051,-33.606,692.853,786.221,253.19,2151.492,6.181,2.665,1.943,61.794,4069.492,4173.473,1344.0,12636.841,32.812,15.654,53.21,1.282,1.033,9.294,2181.415,2475.422,797.17,6773.866,19.462,8.391,0.67,64.528,9692.96,135.669,43.69,30099.186,16.947,884.105,18945.369,6101.052,1.067,37.286,258.466,83.07,19.08,4.221,10.545,257.954,59.248,802.605,2.028,0.466,0.994,12719.186,25995.912,2.795,52.501,1888.077,1698.051,546.83,5862.975,13.35,7.263,82.149,35.435,79.149,89.804,28.92,245.78,0.706,0.304,8.231,35.039,497.093,564.071,181.65,1543.604,4.435,1.912,Unknown
Aruba,2018,ABW,105980.0,,,,,,0.0,0.0,0.0,,552.083,,,,,0.0,0.0,,,,,0.0,,0.96,0.96,,-3.393,-0.184,49515.113,,,,7642.952,0.81,,,84.375,,,,,0.0,0.0,,,,,,0.0,,0.53,,,,0.0,0.0,,0.0,,,,,1415.361,0.15,,15.625,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,7642.952,0.81,,,,,,84.375,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9058.312,5.248,,,,1415.361,0.15,,15.625,,,,,94.357,0.01,,1.042,,,,,1321.004,0.14,,14.583,,Unknown
Ethiopia,2015,ETH,102471896.0,157107159040.0,,,,,0.293,0.03,0.289,,24.062,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,9.69,10.39,,5.353,3.725,715.425,0.467,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.25,,,,93.489,9.58,,92.204,,,,,101.394,10.39,,100.0,,-0.7,-7.224,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.03,0.0,,,0.293,0.0,,0.289,0.0,,101.394,73.311,,,,101.394,10.39,,100.0,,,,,0.195,0.02,,0.192,,,,,7.417,0.76,,7.315,,Unknown
Ethiopia,2011,ETH,91817936.0,104948629504.0,,,,,0.545,0.05,0.789,,29.968,,,,,0.0,0.0,-41.667,-0.113,1.719,0.158,0.0,,6.01,6.34,,12.995,5.43,514.245,0.45,,,0.545,0.05,,,0.789,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.19,,,,67.525,6.2,,97.792,,,,,68.505,6.29,,99.211,,-0.33,-5.491,,,,0.0,0.0,,0.0,,,,,0.545,0.05,,,0.0,0.0,0.0,0.789,,,0.06,0.01,,,0.653,0.109,,0.946,0.158,,69.05,47.217,,,,68.505,6.29,,99.211,,,,,0.0,0.0,,0.0,,,,,0.327,0.03,,0.473,,Unknown
United States,2023,USA,339996576.0,,13.215,57.826,1457.13,495.419,139.59,47.46,1.117,1.892,369.473,-17.294,-476.107,6696.738,2276.868,1986.079,675.26,-1.942,-65.124,9670.427,3287.912,15.892,8.694,4266.69,4249.05,18.208,-1.189,-315.105,77027.836,,-1.756,-377.227,7383.369,2510.32,62065.93,21102.203,59.08,80.576,0.782,68.806,8864.672,5300.23,1802.06,26072.826,4.22,419.158,30450.207,10352.966,42.411,33.849,1569.91,-5.951,-41.221,613.883,688.125,233.96,1805.556,5.506,2.344,3.015,62.122,5086.998,5113.963,1738.73,14961.908,40.92,19.424,17.64,0.413,0.494,2.615,2034.434,2280.464,775.35,5983.69,18.248,7.768,0.303,30.075,9960.662,97.06,33.0,29296.359,8.536,756.567,28293.371,9619.649,0.777,38.033,202.683,66.07,18.61,-5.9,-13.898,194.325,54.736,596.132,1.555,0.438,0.774,12497.331,26189.199,4.471,59.507,3052.563,2833.499,963.38,8978.219,22.673,11.656,16.111,84.734,624.803,700.36,238.12,1837.675,5.604,2.386,-2.087,-27.933,1115.776,1250.689,425.23,3281.726,10.008,4.26,Unknown
Ethiopia,2013,ETH,97084376.0,128310304768.0,,,,,0.309,0.03,0.346,,25.375,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,8.03,8.67,,16.723,8.8,632.633,0.479,,,0.103,0.01,,,0.115,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.22,,,,85.081,8.26,,95.271,,,,,89.201,8.66,,99.885,,-0.64,-7.97,,,,0.0,0.0,,0.0,,,,,0.103,0.01,,,0.0,0.0,0.0,0.115,,,0.03,0.0,,,0.309,0.0,,0.346,0.0,,89.304,61.419,,,,89.201,8.66,,99.885,,,,,0.103,0.01,,0.115,,,,,3.708,0.36,,4.152,,Unknown
Aruba,2015,ABW,104269.0,,,,,,0.0,0.0,0.0,,536.082,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.97,0.97,,2.925,0.153,51778.613,,,,7576.557,0.79,,,81.443,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.52,,,,0.0,0.0,,0.0,,,,,1726.304,0.18,,18.557,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,7576.557,0.79,,,0.0,0.0,0.0,81.443,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9302.861,5.399,,,,1726.304,0.18,,18.557,,,,,95.906,0.01,,1.031,,,,,1630.398,0.17,,17.526,,Unknown
United States,2020,USA,335942016.0,18027359764480.0,-9.029,-37.549,1126.15,378.321,162.826,54.7,1.353,1.536,387.2,-18.863,-594.279,7608.996,2556.181,2302.153,773.39,-24.92,-989.092,8870.466,2979.962,19.128,10.381,4090.49,4043.18,18.44,-7.359,-1955.848,73294.336,1.366,-9.163,-2011.143,7239.047,2431.9,59346.547,19936.998,60.148,80.97,-1.933,-164.503,8345.496,4834.674,1624.17,24842.072,-0.355,-32.981,27528.943,9248.129,40.171,33.894,1565.52,-0.941,-9.822,742.663,833.328,279.95,2210.689,6.924,3.016,0.16,55.298,4685.649,4796.304,1611.28,13947.792,39.852,19.03,47.31,1.157,-2.413,-59.727,2095.404,2351.239,789.88,6237.399,19.536,8.51,-12.173,-1252.362,9035.32,102.22,34.34,26895.477,-5.015,-437.966,24694.244,8295.834,0.849,36.695,225.994,72.79,18.09,-3.259,-8.439,216.674,53.849,672.717,1.8,0.447,0.918,12035.351,24622.646,2.009,115.026,2590.245,2445.065,821.4,7710.394,20.316,10.52,22.29,62.163,346.779,389.115,130.72,1032.258,3.233,1.408,14.214,108.672,896.488,1005.947,337.94,2668.579,8.358,3.641,Unknown
Aruba,2022,ABW,106459.0,,,,,,0.0,0.0,0.0,,561.224,,,,,0.0,0.0,,,,,0.0,,0.98,0.98,,,,,,,,7796.429,0.83,,,84.694,,,,,0.0,0.0,,,,,,0.0,,0.55,,,,0.0,0.0,,0.0,,,,,1408.993,0.15,,15.306,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,7796.429,0.83,,,,,,84.694,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9205.422,,,,,1408.993,0.15,,15.306,,,,,93.933,0.01,,1.02,,,,,1315.06,0.14,,14.286,,Unknown
Ethiopia,2021,ETH,120283024.0,251849818112.0,,,,,0.249,0.03,0.193,,24.453,,,,,0.0,0.0,,,,,0.0,,13.88,15.54,,4.009,4.041,871.584,0.416,,,0.083,0.01,,,0.064,,,,,0.0,0.0,,,,,,0.0,,0.38,,,,123.958,14.91,,95.946,,,,,129.112,15.53,,99.936,,-1.66,-11.96,,,,0.0,0.0,,0.0,,,,,0.083,0.01,,,,,,0.064,,,0.03,0.0,,,0.249,0.0,,0.193,0.0,,129.195,104.837,,,,129.112,15.53,,99.936,,,,,0.249,0.03,,0.193,,,,,4.656,0.56,,3.604,,Unknown
United States,2016,USA,327210208.0,17220065296384.0,8.488,32.017,1250.661,409.229,191.803,62.76,1.535,1.591,454.496,-8.508,-368.337,12104.576,3960.741,3787.015,1239.15,-18.271,-912.933,12479.973,4083.574,30.315,15.395,4154.06,4087.56,17.576,-0.079,-20.375,78625.453,1.494,-1.103,-238.777,8120.04,2656.96,65453.969,21417.207,65.001,83.248,0.742,55.194,7490.989,4212.308,1378.31,22893.508,-1.749,-129.471,22229.016,7273.561,33.72,29.117,1857.78,7.024,42.414,706.105,798.05,261.13,2157.956,6.388,2.745,6.18,218.403,4309.845,4372.113,1430.6,13171.486,34.999,16.752,66.5,1.601,1.068,10.197,2178.659,2462.301,805.69,6658.287,19.711,8.468,0.752,74.364,9965.476,120.718,39.5,30455.883,-4.294,-283.157,19288.914,6311.529,0.966,38.735,253.683,81.92,19.16,-1.211,-3.432,250.359,58.556,775.292,2.004,0.469,0.986,12492.153,25727.051,10.745,208.205,2131.185,1909.812,624.91,6513.199,15.288,8.284,40.567,42.188,148.362,167.69,54.87,453.415,1.342,0.577,19.02,95.018,613.806,693.713,226.99,1875.876,5.553,2.386,Unknown
