"MAC","weekday","fecha_servidor","fecha_esp32","voltaje","corriente","potencia","frecuencia","energia","fp","ESP32_temp","WORKSTATION_CPU","WORKSTATION_CPU_POWER","WORKSTATION_CPU_TEMP","WORKSTATION_GPU","WORKSTATION_GPU_POWER","WORKSTATION_GPU_TEMP","WORKSTATION_RAM","WORKSTATION_RAM_POWER"
"3C:61:05:12:96:30","4","2021-08-05 10:58:36","2021-08-05 10:58:36","120.5","0.02","0","60","171.89","0","23.89","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:37","2021-08-05 10:58:37","120.5","0.02","0","59.9","171.89","0","24.44","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:38","2021-08-05 10:58:38","120.5","0.02","0","60","171.89","0","24.44","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:39","2021-08-05 10:58:39","120.5","0.02","0","60","171.89","0","24.44","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:40","2021-08-05 10:58:40","120.5","0.02","0","59.9","171.89","0","25","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:41","2021-08-05 10:58:41","120.5","0.02","0","60","171.89","0","25","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:42","2021-08-05 10:58:42","120.5","0.02","0","60","171.89","0","25","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:43","2021-08-05 10:58:43","120.5","0.02","0","60","171.89","0","25","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:44","2021-08-05 10:58:44","120.5","0.02","0","60","171.89","0","25","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:45","2021-08-05 10:58:45","120.5","0.02","0","60","171.89","0","25.56","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:46","2021-08-05 10:58:46","120.5","0.02","0","59.9","171.89","0","25.56","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:47","2021-08-05 10:58:47","120.5","0.02","0","60","171.89","0","25.56","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:48","2021-08-05 10:58:48","120.5","0.02","0","60","171.89","0","25.56","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:49","2021-08-05 10:58:49","120.5","0.02","0","60","171.89","0","25.56","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:51","2021-08-05 10:58:51","120.5","0.02","0","60","171.89","0","26.11","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:52","2021-08-05 10:58:52","120.5","0.02","0","60","171.89","0","26.11","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:53","2021-08-05 10:58:53","120.5","0.02","0","60","171.89","0","25.56","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:54","2021-08-05 10:58:54","120.5","0.02","0","60","171.89","0","26.11","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:55","2021-08-05 10:58:55","120.5","0.02","0","60","171.89","0","26.11","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:56","2021-08-05 10:58:56","120.5","0.02","0","60","171.89","0","26.67","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:57","2021-08-05 10:58:57","120.5","0.02","0","60","171.89","0","26.67","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:58","2021-08-05 10:58:58","120.5","0.02","0","60","171.89","0","26.67","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:58:59","2021-08-05 10:58:59","120.5","0.02","0","59.9","171.89","0","26.11","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","4","2021-08-05 10:59:00","2021-08-05 10:59:00","120.5","0.02","0","60","171.89","0","26.67","0","0","0","0","0","0","0","0"
