"MAC","weekday","fecha_servidor","fecha_esp32","voltaje","corriente","potencia","frecuencia","energia","fp","ESP32_temp","WORKSTATION_CPU","WORKSTATION_CPU_POWER","WORKSTATION_CPU_TEMP","WORKSTATION_GPU","WORKSTATION_GPU_POWER","WORKSTATION_GPU_TEMP","WORKSTATION_RAM","WORKSTATION_RAM_POWER"
"3C:61:05:12:96:30","3","2021-05-05 22:05:38","2021-05-05 22:05:38","120","0.98","102.6","60","0","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:38","2021-05-05 22:05:38","120","0.97","101.5","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:39","2021-05-05 22:05:39","120","0.97","101.5","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:39","2021-05-05 22:05:39","120","0.99","104.7","60","0","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:40","2021-05-05 22:05:40","120","0.99","104.7","60","0","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:41","2021-05-05 22:05:41","120","0.95","98.4","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:42","2021-05-05 22:05:42","120","0.95","98.9","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:43","2021-05-05 22:05:43","120","0.95","98.9","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:43","2021-05-05 22:05:43","120","0.95","98.9","59.9","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:43","2021-05-05 22:05:43","120","0.97","101.5","59.9","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:43","2021-05-05 22:05:43","120","0.97","101.5","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:44","2021-05-05 22:05:44","120","0.97","101.5","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:44","2021-05-05 22:05:44","120","0.98","102.8","60","0","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:45","2021-05-05 22:05:45","120","0.98","102.8","60","0","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:45","2021-05-05 22:05:45","120","0.98","102.8","59.9","0","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:46","2021-05-05 22:05:46","120","0.95","98.8","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:47","2021-05-05 22:05:47","120","0.95","98.8","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:47","2021-05-05 22:05:47","120","0.95","98.8","59.9","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:47","2021-05-05 22:05:47","120","0.96","100.2","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:48","2021-05-05 22:05:48","120","0.96","100.2","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:48","2021-05-05 22:05:48","120","0.95","99.6","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:49","2021-05-05 22:05:49","120","0.95","99.6","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:49","2021-05-05 22:05:49","120","0.95","99.6","59.9","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:50","2021-05-05 22:05:50","120","0.96","99.9","59.9","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:50","2021-05-05 22:05:50","120","0.96","99.9","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:51","2021-05-05 22:05:51","120","0.96","99.8","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:52","2021-05-05 22:05:52","120","0.96","99.8","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:52","2021-05-05 22:05:52","120","0.95","99.5","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:53","2021-05-05 22:05:53","120","0.95","99.5","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:53","2021-05-05 22:05:53","120","0.95","99.4","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:54","2021-05-05 22:05:54","120","0.95","99.4","59.9","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:54","2021-05-05 22:05:54","120","0.96","100.7","60","0","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:55","2021-05-05 22:05:55","120","0.96","100.7","60","0","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:56","2021-05-05 22:05:56","120","0.96","100.7","60","0","0.88","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:56","2021-05-05 22:05:56","120.1","0.95","98.7","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:57","2021-05-05 22:05:57","120.1","0.95","98.7","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:57","2021-05-05 22:05:57","120","0.95","98.5","60","0","0.87","0","0","0","0","0","0","0","0","0"
"3C:61:05:12:96:30","3","2021-05-05 22:05:57","2021-05-05 22:05:57","120","0.95","98.5","59.9","0","0.87","0","0","0","0","0","0","0","0","0"
